,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
0,0,2017-11-08,2017-11-11,Second Class,0,Consumer,Henderson,Kentucky,South,0,Furniture,Bookcases,261.96,2.0,0.0,41.9136
2,1,2017-06-12,2017-06-16,Second Class,1,Corporate,Los Angeles,California,West,2,Office Supplies,Labels,14.62,2.0,0.0,6.8713999999999995
4,2,2016-10-11,2016-10-18,Standard Class,2,Consumer,Fort Lauderdale,Florida,South,4,Office Supplies,Storage,22.368000000000002,2.0,0.2,2.516399999999999
5,3,2015-06-09,2015-06-14,Standard Class,3,Consumer,Los Angeles,California,West,5,Furniture,Furnishings,48.86,7.0,0.0,14.169399999999996
6,3,2015-06-09,2015-06-14,Standard Class,3,Consumer,Los Angeles,California,West,6,Office Supplies,Art,7.28,4.0,0.0,1.9656000000000002
8,3,2015-06-09,2015-06-14,Standard Class,3,Consumer,Los Angeles,California,West,8,Office Supplies,Binders,18.504,3.0,0.2,5.7825
9,3,2015-06-09,2015-06-14,Standard Class,3,Consumer,Los Angeles,California,West,9,Office Supplies,Appliances,114.9,5.0,0.0,34.46999999999999
12,4,2018-04-15,2018-04-20,Standard Class,4,Consumer,Concord,North Carolina,South,12,Office Supplies,Paper,15.552000000000003,3.0,0.2,5.4432
17,8,2015-05-13,2015-05-15,Second Class,8,Consumer,West Jordan,Utah,West,17,Office Supplies,Storage,55.5,2.0,0.0,9.989999999999995
18,9,2015-08-27,2015-09-01,Second Class,9,Consumer,San Francisco,California,West,18,Office Supplies,Art,8.56,2.0,0.0,2.4823999999999993
19,9,2015-08-27,2015-09-01,Second Class,9,Consumer,San Francisco,California,West,19,Technology,Phones,213.48000000000002,3.0,0.2,16.01099999999998
20,9,2015-08-27,2015-09-01,Second Class,9,Consumer,San Francisco,California,West,20,Office Supplies,Binders,22.72,4.0,0.2,7.383999999999999
21,10,2017-12-09,2017-12-13,Standard Class,10,Corporate,Fremont,Nebraska,Central,21,Office Supplies,Art,19.459999999999997,7.0,0.0,5.0596
22,10,2017-12-09,2017-12-13,Standard Class,10,Corporate,Fremont,Nebraska,Central,22,Office Supplies,Appliances,60.339999999999996,7.0,0.0,15.688400000000001
23,11,2018-07-16,2018-07-18,Second Class,11,Consumer,Philadelphia,Pennsylvania,East,23,Furniture,Chairs,71.37199999999999,2.0,0.3,-1.0196000000000005
25,13,2017-01-16,2017-01-20,Second Class,13,Consumer,Los Angeles,California,West,24,Office Supplies,Binders,11.648000000000001,2.0,0.2,4.2224
26,13,2017-01-16,2017-01-20,Second Class,13,Consumer,Los Angeles,California,West,25,Technology,Accessories,90.57000000000001,3.0,0.0,11.774100000000004
28,14,2016-09-17,2016-09-21,Standard Class,14,Consumer,Philadelphia,Pennsylvania,East,27,Office Supplies,Binders,9.618000000000002,2.0,0.7,-7.0532
29,14,2016-09-17,2016-09-21,Standard Class,14,Consumer,Philadelphia,Pennsylvania,East,28,Furniture,Furnishings,124.20000000000002,3.0,0.2,15.524999999999991
30,14,2016-09-17,2016-09-21,Standard Class,14,Consumer,Philadelphia,Pennsylvania,East,29,Office Supplies,Envelopes,3.2640000000000002,2.0,0.2,1.1015999999999997
31,14,2016-09-17,2016-09-21,Standard Class,14,Consumer,Philadelphia,Pennsylvania,East,30,Office Supplies,Art,86.304,6.0,0.2,9.709199999999989
32,14,2016-09-17,2016-09-21,Standard Class,14,Consumer,Philadelphia,Pennsylvania,East,31,Office Supplies,Binders,6.858000000000001,6.0,0.7,-5.715
33,14,2016-09-17,2016-09-21,Standard Class,14,Consumer,Philadelphia,Pennsylvania,East,32,Office Supplies,Art,15.76,2.0,0.2,3.5460000000000007
34,15,2018-10-19,2018-10-23,Second Class,15,Home Office,Houston,Texas,Central,33,Office Supplies,Paper,29.472,3.0,0.2,9.946799999999998
37,17,2016-12-27,2016-12-31,Standard Class,17,Home Office,Houston,Texas,Central,36,Office Supplies,Envelopes,113.328,9.0,0.2,35.415
39,17,2016-12-27,2016-12-31,Standard Class,17,Home Office,Houston,Texas,Central,38,Furniture,Chairs,212.058,3.0,0.3,-15.146999999999991
40,17,2016-12-27,2016-12-31,Standard Class,17,Home Office,Houston,Texas,Central,39,Technology,Phones,371.168,4.0,0.2,41.75639999999996
41,18,2018-09-10,2018-09-15,Standard Class,18,Corporate,Naperville,Illinois,Central,40,Technology,Phones,147.168,4.0,0.2,16.556399999999996
42,19,2017-07-17,2017-07-22,Standard Class,19,Corporate,Los Angeles,California,West,41,Office Supplies,Storage,77.88,2.0,0.0,3.8939999999999912
43,20,2018-09-19,2018-09-23,Standard Class,20,Corporate,Melbourne,Florida,South,42,Office Supplies,Storage,95.616,2.0,0.2,9.56160000000001
44,21,2017-03-11,2017-03-13,First Class,21,Corporate,Eagan,Minnesota,Central,43,Technology,Accessories,45.98,2.0,0.0,19.7714
45,21,2017-03-11,2017-03-13,First Class,21,Corporate,Eagan,Minnesota,Central,44,Office Supplies,Binders,17.46,2.0,0.0,8.206199999999999
46,22,2015-10-20,2015-10-25,Second Class,22,Consumer,Westland,Michigan,Central,45,Office Supplies,Storage,211.96,4.0,0.0,8.478399999999993
47,23,2017-06-20,2017-06-25,Standard Class,23,Consumer,Dover,Delaware,East,46,Technology,Accessories,45.0,3.0,0.0,4.950000000000001
48,23,2017-06-20,2017-06-25,Standard Class,23,Consumer,Dover,Delaware,East,47,Technology,Phones,21.8,2.0,0.0,6.104000000000001
49,24,2016-04-18,2016-04-22,Standard Class,24,Consumer,New Albany,Indiana,Central,48,Office Supplies,Binders,38.22,6.0,0.0,17.9634
50,24,2016-04-18,2016-04-22,Standard Class,24,Consumer,New Albany,Indiana,Central,49,Office Supplies,Labels,75.17999999999999,6.0,0.0,35.334599999999995
51,24,2016-04-18,2016-04-22,Standard Class,24,Consumer,New Albany,Indiana,Central,50,Furniture,Furnishings,6.16,2.0,0.0,2.9568
52,24,2016-04-18,2016-04-22,Standard Class,24,Consumer,New Albany,Indiana,Central,51,Furniture,Chairs,89.99,1.0,0.0,17.098099999999988
53,25,2017-12-11,2017-12-17,Standard Class,25,Corporate,New York City,New York,East,52,Office Supplies,Fasteners,15.260000000000002,7.0,0.0,6.256600000000001
55,26,2017-06-17,2017-06-18,First Class,26,Consumer,Troy,New York,East,54,Office Supplies,Storage,208.56,6.0,0.0,52.139999999999986
56,26,2017-06-17,2017-06-18,First Class,26,Consumer,Troy,New York,East,55,Office Supplies,Paper,32.400000000000006,5.0,0.0,15.552000000000001
57,26,2017-06-17,2017-06-18,First Class,26,Consumer,Troy,New York,East,56,Furniture,Chairs,319.41,5.0,0.1,7.098000000000006
58,26,2017-06-17,2017-06-18,First Class,26,Consumer,Troy,New York,East,57,Office Supplies,Paper,14.56,2.0,0.0,6.9888
59,26,2017-06-17,2017-06-18,First Class,26,Consumer,Troy,New York,East,46,Technology,Accessories,30.0,2.0,0.0,3.3000000000000007
60,26,2017-06-17,2017-06-18,First Class,26,Consumer,Troy,New York,East,58,Office Supplies,Binders,48.480000000000004,4.0,0.2,16.362
61,26,2017-06-17,2017-06-18,First Class,26,Consumer,Troy,New York,East,59,Office Supplies,Art,1.68,1.0,0.0,0.84
62,27,2016-11-24,2016-11-30,Standard Class,27,Consumer,Los Angeles,California,West,60,Technology,Accessories,13.98,2.0,0.0,6.151200000000001
63,27,2016-11-24,2016-11-30,Standard Class,27,Consumer,Los Angeles,California,West,61,Office Supplies,Binders,25.824,6.0,0.2,9.3612
64,27,2016-11-24,2016-11-30,Standard Class,27,Consumer,Los Angeles,California,West,62,Office Supplies,Paper,146.73,3.0,0.0,68.9631
65,27,2016-11-24,2016-11-30,Standard Class,27,Consumer,Los Angeles,California,West,63,Furniture,Furnishings,79.76,4.0,0.0,22.332800000000006
66,28,2016-04-30,2016-05-05,Standard Class,28,Home Office,Chicago,Illinois,Central,64,Furniture,Chairs,213.11499999999998,5.0,0.3,-15.22250000000001
68,29,2015-12-05,2015-12-10,Standard Class,29,Corporate,Gilbert,Arizona,West,66,Technology,Phones,167.96800000000002,4.0,0.2,62.988
69,30,2017-06-04,2017-06-06,First Class,30,Consumer,Springfield,Virginia,South,67,Office Supplies,Paper,75.88,2.0,0.0,35.663599999999995
70,31,2017-09-18,2017-09-23,Standard Class,31,Consumer,New York City,New York,East,68,Office Supplies,Binders,4.616,1.0,0.2,1.7309999999999999
71,32,2018-09-14,2018-09-17,Second Class,14,Consumer,Jackson,Michigan,Central,69,Office Supplies,Paper,19.049999999999997,3.0,0.0,8.763
73,33,2016-04-26,2016-05-02,Standard Class,32,Consumer,Memphis,Tennessee,South,71,Furniture,Furnishings,97.04,2.0,0.2,1.2129999999999974
74,33,2016-04-26,2016-05-02,Standard Class,32,Consumer,Memphis,Tennessee,South,72,Office Supplies,Storage,72.784,1.0,0.2,-18.196
76,34,2018-12-09,2018-12-11,First Class,33,Corporate,Houston,Texas,Central,74,Furniture,Furnishings,9.708,3.0,0.6,-5.8248000000000015
77,34,2018-12-09,2018-12-11,First Class,33,Corporate,Houston,Texas,Central,75,Office Supplies,Storage,27.240000000000002,3.0,0.2,2.724000000000002
78,35,2015-11-26,2015-12-01,Second Class,32,Consumer,Houston,Texas,Central,76,Furniture,Furnishings,19.3,5.0,0.6,-14.475000000000001
79,36,2017-06-12,2017-06-15,First Class,34,Corporate,Decatur,Alabama,South,77,Office Supplies,Appliances,208.16,1.0,0.0,56.20320000000001
80,36,2017-06-12,2017-06-15,First Class,34,Corporate,Decatur,Alabama,South,78,Office Supplies,Binders,16.740000000000002,3.0,0.0,8.0352
81,37,2015-10-12,2015-10-16,Standard Class,35,Consumer,San Francisco,California,West,79,Office Supplies,Art,14.9,5.0,0.0,4.172000000000001
82,37,2015-10-12,2015-10-16,Standard Class,35,Consumer,San Francisco,California,West,80,Office Supplies,Storage,21.39,1.0,0.0,6.203099999999999
83,38,2016-09-03,2016-09-08,Standard Class,36,Corporate,Durham,North Carolina,South,81,Office Supplies,Envelopes,200.98400000000004,7.0,0.2,62.807499999999976
85,40,2018-05-28,2018-05-30,Second Class,22,Consumer,Columbia,South Carolina,South,83,Furniture,Chairs,301.96,2.0,0.0,33.215599999999995
86,41,2018-10-26,2018-11-02,Standard Class,38,Consumer,Rochester,Minnesota,Central,84,Technology,Accessories,19.99,1.0,0.0,6.796599999999998
87,41,2018-10-26,2018-11-02,Standard Class,38,Consumer,Rochester,Minnesota,Central,85,Office Supplies,Labels,6.16,2.0,0.0,2.9568
88,42,2017-04-05,2017-04-10,Second Class,39,Home Office,Houston,Texas,Central,86,Office Supplies,Storage,158.36800000000002,7.0,0.2,13.857199999999999
89,43,2017-09-17,2017-09-22,Standard Class,40,Corporate,Los Angeles,California,West,87,Office Supplies,Art,20.1,3.0,0.0,6.632999999999998
90,43,2017-09-17,2017-09-22,Standard Class,40,Corporate,Los Angeles,California,West,40,Technology,Phones,73.584,2.0,0.2,8.278199999999998
91,43,2017-09-17,2017-09-22,Standard Class,40,Corporate,Los Angeles,California,West,88,Office Supplies,Paper,6.48,1.0,0.0,3.1104000000000003
92,44,2016-01-31,2016-02-05,Second Class,41,Consumer,Minneapolis,Minnesota,Central,89,Office Supplies,Paper,12.96,2.0,0.0,6.2208000000000006
93,44,2016-01-31,2016-02-05,Second Class,41,Consumer,Minneapolis,Minnesota,Central,90,Furniture,Furnishings,53.34,3.0,0.0,16.535399999999996
94,44,2016-01-31,2016-02-05,Second Class,41,Consumer,Minneapolis,Minnesota,Central,91,Office Supplies,Binders,32.96,2.0,0.0,16.1504
95,45,2018-11-06,2018-11-12,Standard Class,42,Home Office,Portland,Oregon,West,92,Office Supplies,Binders,5.682000000000001,1.0,0.7,-3.7880000000000003
96,46,2018-11-09,2018-11-11,Second Class,43,Home Office,New York City,New York,East,93,Furniture,Furnishings,96.53,7.0,0.0,40.5426
97,47,2018-06-17,2018-06-20,First Class,44,Consumer,San Francisco,California,West,94,Office Supplies,Binders,51.312,3.0,0.2,17.9592
98,48,2017-09-06,2017-09-11,Standard Class,45,Corporate,Saint Paul,Minnesota,Central,95,Office Supplies,Appliances,77.88,6.0,0.0,22.585199999999993
99,49,2017-08-29,2017-09-02,Standard Class,46,Home Office,Chicago,Illinois,Central,96,Office Supplies,Paper,64.624,7.0,0.2,22.618399999999994
100,49,2017-08-29,2017-09-02,Standard Class,46,Home Office,Chicago,Illinois,Central,97,Technology,Accessories,95.97600000000001,3.0,0.2,-10.79730000000001
102,50,2017-12-01,2017-12-04,Second Class,47,Consumer,Rochester,Minnesota,Central,99,Office Supplies,Paper,23.92,4.0,0.0,11.7208
103,51,2016-11-13,2016-11-17,Standard Class,48,Consumer,Aurora,Colorado,West,100,Technology,Accessories,238.89600000000002,6.0,0.2,-26.875800000000012
104,51,2016-11-13,2016-11-17,Standard Class,48,Consumer,Aurora,Colorado,West,101,Furniture,Furnishings,102.35999999999999,3.0,0.2,-3.8385000000000105
105,51,2016-11-13,2016-11-17,Standard Class,48,Consumer,Aurora,Colorado,West,102,Office Supplies,Binders,36.882000000000005,3.0,0.7,-25.8174
106,52,2018-11-23,2018-11-28,Standard Class,49,Consumer,Charlotte,North Carolina,South,103,Technology,Accessories,74.11200000000001,8.0,0.2,17.6016
107,52,2018-11-23,2018-11-28,Standard Class,49,Consumer,Charlotte,North Carolina,South,104,Technology,Phones,27.992000000000004,1.0,0.2,2.0993999999999993
108,52,2018-11-23,2018-11-28,Standard Class,49,Consumer,Charlotte,North Carolina,South,105,Office Supplies,Art,3.3040000000000003,1.0,0.2,1.0737999999999999
109,53,2016-10-15,2016-10-20,Standard Class,50,Home Office,Orland Park,Illinois,Central,106,Technology,Accessories,339.96000000000004,5.0,0.2,67.99199999999996
110,54,2018-12-25,2018-12-30,Standard Class,51,Corporate,New York City,New York,East,107,Furniture,Furnishings,41.96,2.0,0.0,10.909600000000001
111,55,2017-11-03,2017-11-10,Standard Class,52,Consumer,Urbandale,Iowa,Central,108,Office Supplies,Art,75.96,2.0,0.0,22.78799999999999
112,55,2017-11-03,2017-11-10,Standard Class,52,Consumer,Urbandale,Iowa,Central,109,Office Supplies,Binders,27.240000000000002,6.0,0.0,13.3476
114,56,2015-08-25,2015-08-27,Second Class,53,Consumer,Columbus,Ohio,East,111,Office Supplies,Envelopes,4.720000000000001,2.0,0.2,1.6519999999999997
115,56,2015-08-25,2015-08-27,Second Class,53,Consumer,Columbus,Ohio,East,112,Office Supplies,Paper,23.976000000000003,3.0,0.2,7.492499999999999
116,56,2015-08-25,2015-08-27,Second Class,53,Consumer,Columbus,Ohio,East,113,Office Supplies,Envelopes,130.464,6.0,0.2,44.0316
119,59,2017-06-12,2017-06-15,First Class,56,Consumer,Wilmington,Delaware,East,116,Furniture,Furnishings,47.04,3.0,0.0,18.345599999999997
120,59,2017-06-12,2017-06-15,First Class,56,Consumer,Wilmington,Delaware,East,8,Office Supplies,Binders,30.84,4.0,0.0,13.878
121,59,2017-06-12,2017-06-15,First Class,56,Consumer,Wilmington,Delaware,East,117,Office Supplies,Storage,226.56,6.0,0.0,63.436800000000005
122,59,2017-06-12,2017-06-15,First Class,56,Consumer,Wilmington,Delaware,East,118,Office Supplies,Envelopes,115.02,9.0,0.0,51.75899999999999
123,59,2017-06-12,2017-06-15,First Class,56,Consumer,Wilmington,Delaware,East,119,Technology,Phones,68.04,7.0,0.0,19.731599999999997
126,62,2018-11-05,2018-11-12,Standard Class,59,Consumer,Phoenix,Arizona,West,122,Office Supplies,Binders,2.3880000000000003,2.0,0.7,-1.8308
127,62,2018-11-05,2018-11-12,Standard Class,59,Consumer,Phoenix,Arizona,West,123,Office Supplies,Storage,243.99200000000002,7.0,0.2,30.49899999999998
128,63,2017-11-06,2017-11-10,Second Class,60,Home Office,Los Angeles,California,West,64,Furniture,Chairs,81.424,2.0,0.2,-9.160199999999996
129,63,2017-11-06,2017-11-10,Second Class,60,Home Office,Los Angeles,California,West,124,Furniture,Furnishings,238.56,3.0,0.0,26.241599999999977
130,64,2018-02-02,2018-02-05,First Class,61,Corporate,Columbus,Ohio,East,125,Technology,Phones,59.96999999999999,5.0,0.4,-11.993999999999993
131,64,2018-02-02,2018-02-05,First Class,61,Corporate,Columbus,Ohio,East,126,Office Supplies,Paper,78.304,2.0,0.2,29.363999999999997
132,64,2018-02-02,2018-02-05,First Class,61,Corporate,Columbus,Ohio,East,127,Office Supplies,Fasteners,21.456,9.0,0.2,6.973199999999998
133,65,2017-10-13,2017-10-19,Standard Class,62,Consumer,Roseville,California,West,128,Office Supplies,Paper,20.04,3.0,0.0,9.6192
134,65,2017-10-13,2017-10-19,Standard Class,62,Consumer,Roseville,California,West,129,Office Supplies,Paper,35.44,1.0,0.0,16.656799999999997
135,65,2017-10-13,2017-10-19,Standard Class,62,Consumer,Roseville,California,West,130,Office Supplies,Art,11.52,4.0,0.0,3.4559999999999995
136,65,2017-10-13,2017-10-19,Standard Class,62,Consumer,Roseville,California,West,131,Office Supplies,Fasteners,4.02,2.0,0.0,1.9697999999999998
137,65,2017-10-13,2017-10-19,Standard Class,62,Consumer,Roseville,California,West,132,Office Supplies,Binders,76.176,3.0,0.2,26.661599999999996
138,65,2017-10-13,2017-10-19,Standard Class,62,Consumer,Roseville,California,West,133,Office Supplies,Supplies,65.88,6.0,0.0,18.446400000000004
140,66,2017-09-05,2017-09-07,Second Class,63,Corporate,Philadelphia,Pennsylvania,East,28,Furniture,Furnishings,82.80000000000001,2.0,0.2,10.349999999999994
141,67,2018-09-18,2018-09-23,Standard Class,64,Corporate,San Francisco,California,West,134,Office Supplies,Art,8.82,3.0,0.0,2.3814
142,67,2018-09-18,2018-09-23,Standard Class,64,Corporate,San Francisco,California,West,135,Office Supplies,Envelopes,10.86,3.0,0.0,5.1042000000000005
143,67,2018-09-18,2018-09-23,Standard Class,64,Corporate,San Francisco,California,West,136,Office Supplies,Paper,143.7,3.0,0.0,68.976
146,70,2015-10-22,2015-10-28,Standard Class,67,Home Office,Newark,Ohio,East,138,Furniture,Furnishings,93.888,4.0,0.2,12.90959999999999
148,71,2017-12-05,2017-12-09,Standard Class,68,Corporate,Franklin,Wisconsin,Central,140,Technology,Phones,149.97,3.0,0.0,5.9987999999999815
150,71,2017-12-05,2017-12-09,Standard Class,68,Corporate,Franklin,Wisconsin,Central,141,Office Supplies,Binders,171.55,5.0,0.0,80.6285
151,72,2017-03-13,2017-03-16,First Class,69,Home Office,Scottsdale,Arizona,West,142,Office Supplies,Appliances,157.92,5.0,0.2,17.76599999999999
152,72,2017-03-13,2017-03-16,First Class,69,Home Office,Scottsdale,Arizona,West,143,Technology,Phones,203.184,2.0,0.2,15.23879999999999
153,73,2016-05-31,2016-06-02,First Class,70,Corporate,San Jose,California,West,144,Office Supplies,Paper,58.379999999999995,7.0,0.0,26.270999999999994
154,73,2016-05-31,2016-06-02,First Class,70,Corporate,San Jose,California,West,145,Office Supplies,Paper,105.52,4.0,0.0,48.539199999999994
155,73,2016-05-31,2016-06-02,First Class,70,Corporate,San Jose,California,West,146,Office Supplies,Storage,80.88,6.0,0.0,21.028799999999997
156,74,2016-05-28,2016-06-03,Standard Class,71,Home Office,Seattle,Washington,West,147,Office Supplies,Art,6.63,3.0,0.0,1.7901
157,75,2015-03-01,2015-03-06,Second Class,72,Consumer,Seattle,Washington,West,120,Furniture,Chairs,457.56800000000004,2.0,0.2,51.47639999999994
158,76,2017-11-20,2017-11-24,Standard Class,73,Consumer,Edmond,Oklahoma,Central,148,Office Supplies,Labels,14.62,2.0,0.0,6.8713999999999995
160,77,2017-05-11,2017-05-12,First Class,74,Consumer,Los Angeles,California,West,150,Office Supplies,Paper,5.98,1.0,0.0,2.691
161,78,2016-12-28,2016-12-31,Second Class,75,Consumer,Philadelphia,Pennsylvania,East,151,Technology,Accessories,54.38400000000001,2.0,0.2,1.359599999999995
162,79,2017-11-16,2017-11-20,Standard Class,76,Consumer,Carlsbad,New Mexico,West,152,Office Supplies,Envelopes,28.4,5.0,0.0,13.347999999999997
163,80,2017-11-07,2017-11-11,Standard Class,77,Consumer,Seattle,Washington,West,153,Office Supplies,Binders,27.680000000000003,2.0,0.2,9.687999999999999
164,81,2015-09-08,2015-09-12,Standard Class,78,Consumer,San Antonio,Texas,Central,154,Office Supplies,Art,9.936,3.0,0.2,2.7324
168,81,2015-09-08,2015-09-12,Standard Class,78,Consumer,San Antonio,Texas,Central,158,Office Supplies,Art,32.064,6.0,0.2,6.813599999999997
170,81,2015-09-08,2015-09-12,Standard Class,78,Consumer,San Antonio,Texas,Central,160,Technology,Phones,143.976,3.0,0.2,8.998500000000007
171,82,2015-08-05,2015-08-09,Standard Class,79,Consumer,Los Angeles,California,West,161,Office Supplies,Paper,20.94,3.0,0.0,9.841800000000001
172,82,2015-08-05,2015-08-09,Standard Class,79,Consumer,Los Angeles,California,West,162,Office Supplies,Paper,110.96,2.0,0.0,53.260799999999996
173,82,2015-08-05,2015-08-09,Standard Class,79,Consumer,Los Angeles,California,West,163,Furniture,Chairs,340.14400000000006,7.0,0.2,21.259
175,83,2015-09-14,2015-09-19,Standard Class,80,Corporate,Chicago,Illinois,Central,165,Office Supplies,Labels,20.16,4.0,0.2,6.551999999999999
177,85,2016-11-21,2016-11-23,Second Class,32,Consumer,Newark,Ohio,East,167,Furniture,Chairs,396.802,7.0,0.3,-11.337199999999939
178,85,2016-11-21,2016-11-23,Second Class,32,Consumer,Newark,Ohio,East,168,Office Supplies,Supplies,15.88,5.0,0.2,-3.771500000000001
